Entry Exit Provider Id	EE UID	Client Unique Id	Client ID	Recordset ID (4749-recordset_id)	Start Date(4750)	A. HISTORY OF HOUSING AND HOMELESSNESS(4824)	B. RISKS(4825)	C. SOCIALIZATION & DAILY FUNCTIONS(4826)	D. WELLNESS(4827)	E. FAMILY UNIT(4828)	PRE-SURVEY(4823)	GRAND TOTAL(4829)	Provider (4749-provider)	Date Added (4749-date_added)
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	899698	jbaf12131981j200b162	421503	4690005	12/29/2016	2	1	2	4	0	1	10	Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	12/29/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	901689	jbaf12131981j200b162	421503	4690005	12/29/2016	2	1	2	4	0	1	10	Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	12/29/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	905451	jbaf12131981j200b162	421503	4690005	12/29/2016	2	1	2	4	0	1	10	Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	12/29/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	925357	jbaf12131981j200b162	421503	4690005	12/29/2016	2	1	2	4	0	1	10	Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	12/29/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	925359	mfaf11151983m420f420	380045	5595188	9/15/2017	2	1	2	4	3	1	13	Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	9/27/2017
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	966368	dwtm09101989d640w362	461886	5932237	1/9/2018	1	1	1	0	3	1	7	Families Moving Forward - Durham County - The NEST - State ESG(7071)	1/11/2018
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	981441	hbcf01091998h300b230	420293	4804209	1/31/2017	2	0	2	0	3	0	7	Urban Ministries of Durham - Durham County - Diversion - Private(5836)	1/31/2017
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	987668	hbcf01091998h300b230	420293	4804209	1/31/2017	2	0	2	0	3	0	7	Urban Ministries of Durham - Durham County - Diversion - Private(5836)	1/31/2017
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	992176	ttyf11161974t250t460	487777	6668319	8/14/2018	1	2	2	2	2	0	9	Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	8/14/2018
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	1001101	naef12311991n340a425	485403	6688682	8/21/2018	1	0	1	0	1	1	4	Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	8/21/2018
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	1012813	hbcf01091998h300b230	420293	4804209	1/31/2017	2	0	2	0	3	0	7	Urban Ministries of Durham - Durham County - Diversion - Private(5836)	1/31/2017
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	1046658	hbcf01091998h300b230	420293	4804209	1/31/2017	2	0	2	0	3	0	7	Urban Ministries of Durham - Durham County - Diversion - Private(5836)	1/31/2017
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	1053505	jrdf07021984j220r300	479756	7579919	4/23/2019	1	1	0	2	1	0	5	Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	6/6/2019
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	1064429	hbcf01091998h300b230	420293	4804209	1/31/2017	2	0	2	0	3	0	7	Urban Ministries of Durham - Durham County - Diversion - Private(5836)	1/31/2017
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	1070380	hbcf01091998h300b230	420293	4804209	1/31/2017	2	0	2	0	3	0	7	Urban Ministries of Durham - Durham County - Diversion - Private(5836)	1/31/2017
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	1071924	jrdf07021984j220r300	479756	7579919	4/23/2019	1	1	0	2	1	0	5	Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	6/6/2019
